Word,Count
9909026,1
88883963,1
Eight Crazy Nights,1
23443124,1
36193591.5989412,1
169169167,1
28054586,1
251649636,1
Chicago,1
161445985,1
240160923.408173,1
176,1
22364844,1
3601422,1
32304755,1
The Phantom of the Opera,2
16178431,1
23368830.5511724,1
177,1
81788548,1
12759520,1
114452894,1
35047365,1
49044425.5267169,1
178,1
68195041,1
10411454,1
93390742,1
Dreamgirls,1
37064395,1
50758402.6649546,1
179,1
255937558,1
36163584,1
324387348,1
Hairspray,1
118871849,1
150663795.303409,1
180,1
260176422,1
29103388,1
261057390,1
Mamma Mia!,1
144130063,1
144618093.284854,1
181,1
39330920,1
4692206,1
42089088,1
Fame,1
22455510,1
24030252.4445113,1
182,1
174481691,1
22108696,1
198315003,1
Tangled,1
167821986,1
190745616.152104,1
183,1
84688775,1
9924084,1
89019033,1
Footloose,1
51670512,1
54312499.0632453,1
184,1
391900843,1
49233771,1
441626926,1
Beauty and the Beast,2
218813467,1
246577471.124788,1
185,1
357193074,1
43935184,1
394098600,1
Frozen,2
296691729,1
327346198.852891,1
186,1
252182790,1
30866923,1
276876299,1
104046280,1
114234396.927394,1
187,1
68944880,1
7956106,1
71366271,1
Into the Woods,1
37130717,1
38434772.993242,1
188,1
248894081,1
28773877,1
258101677,1
Moana,1
210046114,1
217816567.002785,1
189,1
890162292,1
99237710,1
890162259,1
504014165,1
504014146.315242,1
190,1
417625409,1
46558012,1
417625368,1
Mary Poppins Returns,1
138817262,1
138817248.37174,1
191,1
Documentary,24
81994311,1
18849263,1
169077889,1
The Living Sea,1
64800000,1
133622041.256009,1
192,1
6791655,1
1536569,1
13783024,1
Snowriders,1
2035470,1
4130794.6091608,1
193,1
10372500,1
2259800,1
20270406,1
When We Were Kings,1
2666118,1
5210247.70343774,1
194,1
85954501,1
18327179,1
164394796,1
Everest,1
66877098,1
127907750.66895,1
195,1
88124882,1
17347407,1
155606241,1
Mysteries of Egypt,1
27042366,1
47749975.0979094,1
127001363,1
23562383,1
211354576,1
Dolphins,1
54000000,1
89866335.5605089,1
197,1
21807044,1
3852823,1
34559822,1
Shackleton's Antarctic Adventure,1
6683025,1
10591263.7412732,1
198,1
71658170,1
12333577,1
110632186,1
Space Station,2
30460417,1
47027471.1059683,1
199,1
91130211,1
15112777,1
135561610,1
15713110,1
23374185.8636441,1
200,1
235480966,1
37919594,1
340138758,1
Fahrenheit 9/11,1
119114517,1
172054092.3556,1
201,1
165886230,1
25878321,1
232128539,1
La marche de l'empereur,1
77437223,1
108359744.14035,1
202,1
102355386,1
15626720,1
140171678,1
An Inconvenient Truth,1
24146161,1
33067218.4131879,1
203,1
70753270,1
10283847,1
92246108,1
Sicko,1
24538513,1
31992617.7314123,1
204,1
87432868,1
11212195,1
100573389,1
Sea Monsters: A Prehistoric Adventure,1
14144251,1
16270028.5427745,1
205,1
187444087,1
23688746,1
212488052,1
Michael Jackson's This Is It,1
72091016,1
81722927.6298314,1
206,1
93857579,1
11330455,1
101634181,1
Hubble 3D,1
20149829,1
21819350.0143984,1
207,1
82415597,1
9786934,1
87788798,1
African Cats,1
15428747,1
16434645.9053874,1
132328422,1
16624104,1
149118213,1
2016: Obama’s America,1
33349941,1
37581371.6389321,1
209,1
49307450,1
6064807,1
54401319,1
Justin Bieber’s Believe,1
5962982,1
6579007.55308291,1
210,1
88025980,1
10774221,1
96644762,1
Bears,1
17780194,1
19521084.7688811,1
211,1
65083771,1
7648965,1
68611216,1
Monkey Kingdom,1
16432322,1
17322929.768829,1
212,1
50780120,1
5860728,1
52570730,1
Hillary’s America: The Secret History of the Democratic Party,1
13099931,1
13561861.1302933,1
213,1
44877018,1
5002945,1
44876417,1
Born in China,1
13873211,1
13873025.2078021,1
214,1
107099307,1
11939660,1
107098750,1
Won’t You Be My Neighbor?,1
22835787,1
22835668.2360816,1
215,1
Dark Comedy,24
24185598,1
5559905,1
49872348,1
To Die For,1
21155211,1
43623483.9016769,1
216,1
2567371,1
580852,1
5210242,1
Faithful,1
2104439,1
4270764.32048115,1
217,1
37327594,1
8132372,1
72947377,1
Grosse Pointe Blank,1
28084357,1
54883799.3116189,1
218,1
46315475,1
9875365,1
88582024,1
Dead Man on Campus,1
15064948,1
28812909.4065159,1
219,1
101746444,1
20028824,1
179658551,1
Being John Malkovich,1
18243969,1
32214246.5738549,1
220,1
51210561,1
9501029,1
85224230,1
Nurse Betty,1
25170054,1
41887814.3359613,1
221,1
57007068,1
10071918,1
90345104,1
Snatch,1
30033056,1
47596546.5853782,1
222,1
47766617,1
8221446,1
73746371,1
The Royal Tenenbaums,1
31656156,1
48873601.9301906,1
223,1
56947540,1
9444035,1
84712994,1
Bad Santa,2
56909596,1
84656549.9491361,1
224,1
5277208,1
849791,1
7622625,1
3150732,1
4551052.09260275,1
225,2
9517330,1
1484760,1
13318297,1
The Ice Harvest,1
9016782,1
12617843.5191649,1
226,1
32291174,1
4929948,1
44221634,1
Thank You For Smoking,1
24793509,1
33953843.8761535,1
227,1
2456085,1
356987,1
3202173,1
You Kill Me,1
2426851,1
3164058.55140315,1
61625210,1
6905436,1
61941761,1
Burn After Reading,1
60355347,1
60665375.0785769,1
229,1
54671157,1
7289484,1
65386671,1
The Men Who Stare at Goats,1
32018431,1
38294024.2829176,1
230,1
53218987,1
6745113,1
60503664,1
